CustomerID,FirstName,LastName,Email,Phone,Address,City,State,Country,PostalCode
1,John,Doe,johndoe@example.com,123-456-7890,123 Main St,Anytown,CA,USA,12345
2,Jane,Smith,janesmith@example.com,456-789-0123,456 Oak St,Anycity,NY,USA,67890
3,Michael,Johnson,michaeljohnson@example.com,789-012-3456,789 Maple Ave,Anothercity,TX,USA,34567
4,Emily,Williams,emilywilliams@example.com,012-345-6789,987 Elm St,Yetanothercity,FL,USA,89012
5,Chris,Brown,chrisbrown@example.com,234-567-8901,321 Cedar St,Someplace,IL,USA,45678
6,Amanda,Jones,amandajones@example.com,567-890-1234,543 Pine Ave,Othercity,OH,USA,90123
7,David,Garcia,davidgarcia@example.com,678-901-2345,876 Birch St,Elsewhere,PA,USA,23456
8,Samantha,Martinez,samanthamartinez@example.com,890-123-4567,765 Oakwood Dr,Nowhere,GA,USA,78901
9,Matthew,Hernandez,matthewhernandez@example.com,901-234-5678,543 Willow Ln,Anywhere,MI,USA,01234
10,Ashley,Young,ashleyyoung@example.com,123-456-7890,123 Birchwood Ave,Anotherplace,CA,USA,56789
11,Ryan,Lee,ryanlee@example.com,456-789-0123,456 Oakwood Dr,Somecity,NY,USA,89012
12,Jessica,Clark,jessicaclark@example.com,789-012-3456,789 Maple St,Yetanotherplace,TX,USA,23456
13,Joshua,Lewis,joshualewis@example.com,012-345-6789,987 Pine Ave,Elsewhere,FL,USA,56789
14,Lauren,Walker,laurenwalker@example.com,234-567-8901,321 Cedarwood Ln,Otherplace,IL,USA,90123
15,Kevin,Hall,kevinhall@example.com,567-890-1234,543 Elmwood Dr,Nowhere,OH,USA,23456
16,Kayla,Young,kaylayoung@example.com,678-901-2345,876 Oakwood Ln,Anywhere,PA,USA,78901
17,Andrew,Scott,andrewscott@example.com,890-123-4567,765 Maplewood Dr,Anyplace,GA,USA,01234
18,Stephanie,Green,stephaniegreen@example.com,901-234-5678,543 Birchwood Ave,Someplace,MI,USA,56789
19,Brandon,Hill,brandonhill@example.com,123-456-7890,123 Cedarwood Dr,Anotherplace,CA,USA,89012
20,Megan,Carter,megancarter@example.com,456-789-0123,456 Willowwood Ln,Yetanotherplace,NY,USA,23456
21,Taylor,Thomas,taylorthomas@example.com,678-901-2345,876 Elmwood Dr,Nowhere,GA,USA,67890
22,Alexis,Hill,alexishill@example.com,901-234-5678,543 Cedarwood Ln,Anywhere,MI,USA,34567
23,Nathan,Roberts,nathanroberts@example.com,123-456-7890,123 Pine St,Anotherplace,CA,USA,01234
24,Haley,Baker,haleybaker@example.com,456-789-0123,456 Birchwood Dr,Someplace,NY,USA,56789
25,Cameron,Ross,cameronross@example.com,789-012-3456,789 Cedarwood Ave,Yetanotherplace,TX,USA,89012
26,Hailey,Morgan,haileymorgan@example.com,012-345-6789,987 Elmwood Dr,Elsewhere,FL,USA,23456
27,Gabriel,Kelly,gabrielkelly@example.com,234-567-8901,321 Maplewood Ln,Otherplace,IL,USA,78901
28,Isabella,Howard,isabellahoward@example.com,567-890-1234,543 Cedarwood Dr,Somecity,OH,USA,34567
29,Brandon,Adams,brandonadams@example.com,678-901-2345,876 Oakwood Dr,Anothercity,PA,USA,89012
30,Olivia,Evans,oliviaevans@example.com,890-123-4567,765 Elmwood Dr,Anycity,GA,USA,45678
31,Noah,Rivera,noahrivera@example.com,901-234-5678,543 Birchwood Dr,Nowhere,MI,USA,90123
32,Madison,Torres,madisontorres@example.com,123-456-7890,123 Oakwood Dr,Someplace,CA,USA,23456
33,Logan,Peterson,loganpeterson@example.com,456-789-0123,456 Maplewood Dr,Anotherplace,NY,USA,56789
