SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalAmount,PaymentMethod,ShippingAddress,DeliveryStatus,Notes
1,1,101,2024-06-01,2,200,Credit Card,123 Main St,Delivered,""
2,2,102,2024-06-02,1,100,PayPal,456 Oak St,In Progress,""
3,3,103,2024-06-03,3,300,Cash,789 Maple Ave,Shipped,""
4,4,104,2024-06-04,1,150,Debit Card,987 Elm St,Delivered,""
5,5,105,2024-06-05,2,250,Credit Card,321 Cedar St,Shipped,""
6,6,106,2024-06-06,1,100,PayPal,543 Pine Ave,In Progress,""
7,7,107,2024-06-07,4,400,Cash,876 Birch St,Delivered,""
8,8,108,2024-06-08,2,200,Debit Card,765 Oakwood Dr,Shipped,""
9,9,109,2024-06-09,1,100,Credit Card,543 Willow Ln,Delivered,""
10,10,110,2024-06-10,3,300,PayPal,123 Birchwood Ave,In Progress,""
11,11,111,2024-06-11,2,200,Cash,456 Oakwood Dr,Shipped,""
12,12,112,2024-06-12,1,150,Debit Card,789 Maple St,Delivered,""
13,13,113,2024-06-13,4,400,Credit Card,987 Pine Ave,In Progress,""
14,14,114,2024-06-14,2,250,PayPal,321 Cedarwood Ln,Shipped,""
15,15,115,2024-06-15,1,100,Cash,543 Elmwood Dr,Delivered,""
16,16,116,2024-06-16,3,300,Debit Card,876 Oakwood Ln,Shipped,""
17,17,117,2024-06-17,2,200,Credit Card,765 Maplewood Dr,Delivered,""
18,18,118,2024-06-18,1,150,PayPal,543 Birchwood Ave,In Progress,""
19,19,119,2024-06-19,4,400,Cash,123 Cedarwood Dr,Shipped,""
20,20,120,2024-06-20,2,250,Debit Card,456 Willowwood Ln,Delivered,""
21,21,121,2024-06-21,2,200,Credit Card,876 Elmwood Dr,Delivered,""
22,22,122,2024-06-22,1,100,PayPal,543 Cedarwood Ln,In Progress,""
23,23,123,2024-06-23,3,300,Cash,123 Pine St,Shipped,""
24,24,124,2024-06-24,1,150,Debit Card,456 Birchwood Dr,Delivered,""
25,25,125,2024-06-25,2,250,Credit Card,789 Cedarwood Ave,Shipped,""
26,26,126,2024-06-26,1,100,PayPal,987 Elmwood Dr,In Progress,""
27,27,127,2024-06-27,4,400,Cash,321 Maplewood Ln,Delivered,""
28,28,128,2024-06-28,2,200,Debit Card,543 Cedarwood Dr,Shipped,""
29,29,129,2024-06-29,1,100,Credit Card,876 Oakwood Dr,Delivered,""
30,30,130,2024-06-30,3,300,PayPal,765 Elmwood Dr,In Progress,""
31,31,131,2024-07-01,2,200,Cash,543 Birchwood Dr,Shipped,""
